scores,states
"[0, 0, 0, 0, 0, 0, 0.0119]",212100220120012001000100100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212100220120012001002100100010000000000000
"[0, 0, 0.0119, 0, 0, 0, 0]",212100220120012011002100100010000002000000
"[0, 0.0119, 0, 0, 0, 0, 0]",212100221120012011002102100010000002000000
"[0, 0.0119, 0, 0, 0, 0, 0]",212100221120012211002102100010010002000000
"[0, -1, 0, 0, 0, 0, 0]",212100221120012211002122100011010002000000
"[0, 0, 0, 0, 0, 0, 0.0119]",212100220120001001000000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212100220120021001000100100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212100220120021011000100100020000000000000
"[0, -1, 0, 0, 0, 0, 0]",212100220120021011000101100020000002000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212120020120000011000000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212120020120002011000100100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",212120020120002011000101100020000000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",212120021120002011000101100020000002000000
"[0, 0, 0, 0, -1, 0, 0]",212120021121002211000101100020000002000000
"[0, 0, 0, 0.02321, 0, 0, 0]",202100000120000021000000100000010000000000
"[0, 0, 0, 0, 0, 0, 0.04493]",000100000020000001000000200000010000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",000110000020000001000000200000010000002000
"[-1, 0, 0, 0, 0, 0, 0]",201110000020000001000000200000010000002000
"[0, 0.0119, 0, 0, 0, 0, 0]",100100000020000001000000200000010000002000
"[0.0119, 0, 0, 0, 0, 0, 0]",120100010020000001000000200000010000002000
"[0.0119, 0, 0, 0, 0, 0, 0]",120100110020002001000000200000010000002000
"[0, 0, 0, 0, 0, 0.0119, 0]",120100110020002001000200200010010000002000
"[0, 0.0119, 0, 0, 0, 0, 0]",120102110020012001000200200010010000002000
"[0.0119, 0, 0, 0, 0, 0, 0]",120102112020112001000200200010010000002000
"[0, 0, 0, 0, 0.0119, 0, 0]",120102112020112001010200200010010002002000
"[0, -1, 0, 0, 0, 0, 0]",120122112020112001010200201010010002002000
"[0, 0, 0.04419, 0, 0, 0, 0]",200100010020000001000000200000010000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",200100010020002001000000200000010000001000
"[0.0119, 0, 0, 0, 0, 0, 0]",200100010020002001000200200010010000001000
"[0, 0.0119, 0, 0, 0, 0, 0]",201100010020002001000200200010010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",221100011020002001000200200010010002001000
"[0, 0.0119, 0, 0, 0, 0, 0]",221100011020002201000210200010010002001000
"[0, -1, 0, 0, 0, 0, 0]",221101011020002201000210200012010002001000
"[0.0119, 0, 0, 0, 0, 0, 0]",220100010020002001000100200000010000001000
"[0, 0.0119, 0, 0, 0, 0, 0]",220100010020002001000100200020010001001000
"[0, 0.0119, 0, 0, 0, 0, 0]",220100012020002101000100200020010001001000
"[0, 0.0119, 0, 0, 0, 0, 0]",220100012020002101000120200021010001001000
"[0, 0, 0, 0, 0.0119, 0, 0]",220110012020002101000120200021010001201000
"[0, 0, -1, 0, 0, 0, 0]",220111012022002101000120200021010001201000
"[0, 0.06064, 0.0119, 0, 0, 0, 0]",020100001020000001000000000000000000000000
"[0, 0, 0, 0, 0.0119, 0, 0]",220100001020000001000000100000000000000000
"[-1, 0, 0, 0, 0, -1, -1]",220100021020000001000000100000010000000000
"[0, 0, 0.04418, 0, 0, 0, 0]",020100201020000001000000100000000000000000
"[0, 0, 0, 0, 0, 0.03395, 0]",122100201020000001000000100000000000000000
"[0, 0, -1, 0, 0.0119, 0, 0]",122100221020001001000000100000000000000000
"[0, 0, 0, 0, 0.0119, 0, 0]",122100221020001101000200100000000000000000
"[-1, 0, 0, 0, 0, 0, 0]",122100221020001101000210100020000000000000
"[0, 0, 0, 0, 0, 0, 0.0119]",122102221020001101000200100010000000000000
"[-1, 0, 0, 0, 0, 0, 0]",122102221020021101000210100010000000000000
"[-1, 0, 0, 0, 0, 0, 0]",122120221020001101000210100000000000000000
"[0, 0, 0, 0.02321, 0, 0, 0]",122120221020001001000100100000000000000000
"[0, 0, 0, 0, 0, 0.0119, 0]",122120221020001101000100100020000000000000
"[0, 0, -1, 0, 0, 0, 0]",122122221020001101000110100020000000000000
"[0.03395, 0, 0, 0, 0, 0, 0]",122102211020000001000000100000000000000000
"[0.03395, 0, 0, 0, 0, 0, 0]",122102211020002001000100100000000000000000
"[0.03154, 0, 0, 0, 0, 0, 0]",122102211020002101000100100020000000000000
"[0, 0.02083, 0, 0, 0, 0, 0]",122102211020002101000110100020000002000000
"[0, -1, 0, 0, 0, 0, -1]",122102211020002101000110100022010002000000
"[0.01726, 0, 0.0468, 0, 0, 0, 0]",020100001020000201000000100000000000000000
"[0.03683, 0, 0, 0, 0, 0, 0]",122100001020000201000000100000000000000000
"[0, 0, 0, 0.03395, 0, 0, 0]",122100021020000201000000100000010000000000
"[-1, -1, -1, 0.08911, -1, -1, -1]",020120000010000001000000000000000000000000
"[0.06075, 0.09938, 0.15103, 0.09791, 0.13197, 0.09316, 0.07847]",200100210010000001000000200000000000000000
"[0, 0, 0, 0, 0, 0.02235, 0.04789]",200100210010002001000100200000000000000000
"[0, 0.03679, 0, 0, 0, 0, 0]",200100210010002001000100200020000001000000
"[0, 0.03098, 0, 0.0119, 0, 0, 0]",220100211010002001000100200020000001000000
"[0, 0, 0, 0, 0, 0.0119, 0]",220100211010002201000110200020000001000000
"[0, 0, -1, 0, 0, 0, 0]",220100211010002201000110200022000001100000
"[0.01994, 0, 0, 0, 0, 0.06844, 0]",200100000020000001000000100000000000000000
"[0, 0, 0, 0, 0, 0, 0.02083]",200100020020001001000000100000000000000000
"[0.0119, 0, 0, 0, 0, 0, 0]",202100020020001001000100100000000000000000
"[0, 0, 0, 0, 0, 0.0119, 0]",202100020020001001000100100020000001000000
"[0, 0.0119, 0, 0, 0, 0, 0]",202102020120001001000100100020000001000000
"[0, -1, 0, 0, 0, 0, 0]",222102020120001011000100100020000001000000
"[0, 0, 0.0119, 0, 0, 0, 0]",202100010020000001000000100000000000000000
"[0, 0, 0.02321, 0, 0, 0, 0]",202102010020001001000000100000000000000000
"[0.02321, 0, 0, 0, 0, 0, 0]",202102010020001001000200100010000000000000
"[0, 0.02321, 0, 0, 0, 0, 0]",212102010020001001000200100010000002000000
"[0, 0, 0, 0, 0, 0.0119, 0]",212102012020001101000200100010000002000000
"[0, 0, 0, -1, 0, 0, 0]",212122012120001101000200100010000002000000
"[0, 0, 0, 0.03678, 0, 0, 0]",202100010020002001000100100000000000000000
"[0, 0.0119, 0, 0, 0, 0, 0]",202100010020002001000100100020000001000000
"[0, -1, 0, 0, 0, 0, 0]",222100010120002001000100100020000001000000
"[0.02589, 0, 0, 0.0479, 0, 0, 0]",100102000020000001000000000000000000000000
